Accession;Organism;Classification;Host;Country
KR259411.1;B. hominis;Species;Primate;France
KR259410.1;B. hominis;Species;Primate;France
KR259409.1;B. hominis;Species;Primate;France
KR259408.1;B. hominis;Species;Primate;France
KR259407.1;B. hominis;Species;Primate;France
KR259406.1;B. hominis;Species;Primate;France
KR259405.1;B. hominis;Species;Primate;France
KR259404.1;B. hominis;Species;Primate;France
KR259403.1;B. hominis;Species;Primate;France
KR259402.1;B. hominis;Species;Primate;France
KY019167.1;ST3;ST;Homo sapiens;China
KY019166.1;ST3;ST;Homo sapiens;China
KY019165.1;ST3;ST;Homo sapiens;China
KY019164.1;ST3;ST;Homo sapiens;China
KY019163.1;ST3;ST;Homo sapiens;China
KY019162.1;ST3;ST;Homo sapiens;China
KY019161.1;ST3;ST;Homo sapiens;China
KY019160.1;ST3;ST;Homo sapiens;China
KY019159.1;ST3;ST;Homo sapiens;China
KY019158.1;ST3;ST;Homo sapiens;China
KY019157.1;ST3;ST;Homo sapiens;China
KY019156.1;ST3;ST;Homo sapiens;China
KY019155.1;ST3;ST;Homo sapiens;China
KY019154.1;ST3;ST;Homo sapiens;China
KY019153.1;ST3;ST;Homo sapiens;China
KY019152.1;ST3;ST;Homo sapiens;China
KY019151.1;ST3;ST;Homo sapiens;China
KY019150.1;ST3;ST;Homo sapiens;China
KY019149.1;ST1;ST;Homo sapiens;China
KY019148.1;ST1;ST;Homo sapiens;China
KY019147.1;B. hominis;Species;Homo sapiens;China
KY019146.1;B. hominis;Species;Homo sapiens;China
KY019145.1;ST1;ST;Homo sapiens;China
KY019144.1;ST1;ST;Homo sapiens;China
KY019143.1;ST1;ST;Homo sapiens;China
KY019142.1;ST1;ST;Homo sapiens;China
KY019141.1;ST1;ST;Homo sapiens;China
KX378235.1;ST2;ST;Homo sapiens;Tunisia
KX378234.1;ST3;ST;Homo sapiens;Tunisia
KX378233.1;ST2;ST;Homo sapiens;Tunisia
KX378232.1;ST3;ST;Homo sapiens;Tunisia
KX378231.1;ST3;ST;Homo sapiens;Tunisia
KX378230.1;ST2;ST;Homo sapiens;Tunisia
KX378229.1;ST3;ST;Homo sapiens;Tunisia
KX378228.1;ST1;ST;Homo sapiens;Tunisia
KX378227.1;ST3;ST;Homo sapiens;Tunisia
KX378226.1;ST1;ST;Homo sapiens;Tunisia
KX378225.1;ST1;ST;Homo sapiens;Tunisia
KX378224.1;ST3;ST;Homo sapiens;Tunisia
KX378223.1;ST3;ST;Homo sapiens;Tunisia
KX378222.1;ST1;ST;Homo sapiens;Tunisia
KX378221.1;ST3;ST;Homo sapiens;Tunisia
KX378220.1;ST1;ST;Homo sapiens;Tunisia
KX378219.1;ST3;ST;Homo sapiens;Tunisia
KX378218.1;ST1;ST;Homo sapiens;Tunisia
KX378217.1;ST1;ST;Homo sapiens;Tunisia
KX378216.1;ST1;ST;Homo sapiens;Tunisia
KX378215.1;ST1;ST;Homo sapiens;Tunisia
KX378214.1;ST2;ST;Homo sapiens;Tunisia
KX378213.1;ST2;ST;Homo sapiens;Tunisia
KX378212.1;ST1;ST;Homo sapiens;Tunisia
KX378211.1;ST3;ST;Homo sapiens;Tunisia
KX378210.1;ST1;ST;Homo sapiens;Tunisia
KX378209.1;ST3;ST;Homo sapiens;Tunisia
KX378208.1;ST1;ST;Homo sapiens;Tunisia
KX378207.1;ST1;ST;Homo sapiens;Tunisia
KX378206.1;ST1;ST;Homo sapiens;Tunisia
KX378205.1;ST3;ST;Homo sapiens;Tunisia
KX378204.1;ST3;ST;Homo sapiens;Tunisia
KX378203.1;ST3;ST;Homo sapiens;Tunisia
KX378202.1;ST3;ST;Homo sapiens;Tunisia
KX378201.1;ST3;ST;Homo sapiens;Tunisia
KX378200.1;ST3;ST;Homo sapiens;Tunisia
KX378199.1;ST3;ST;Homo sapiens;Tunisia
KX378198.1;ST3;ST;Homo sapiens;Tunisia
KX378197.1;ST3;ST;Homo sapiens;Tunisia
KX378196.1;ST3;ST;Homo sapiens;Tunisia
KX378195.1;ST3;ST;Homo sapiens;Tunisia
KX378194.1;ST3;ST;Homo sapiens;Tunisia
KX378193.1;ST3;ST;Homo sapiens;Tunisia
KX378192.1;ST3;ST;Homo sapiens;Tunisia
KX378191.1;ST3;ST;Homo sapiens;Tunisia
KX378190.1;ST2;ST;Homo sapiens;Tunisia
KX378189.1;ST2;ST;Homo sapiens;Tunisia
KX378188.1;ST1;ST;Homo sapiens;Tunisia
KX378187.1;ST1;ST;Homo sapiens;Tunisia
KX378186.1;ST3;ST;Homo sapiens;Tunisia
KX378185.1;ST3;ST;Homo sapiens;Tunisia
KX378184.1;ST3;ST;Homo sapiens;Tunisia
KX378183.1;ST4;ST;Homo sapiens;Tunisia
KX378182.1;ST7;ST;Homo sapiens;Tunisia
KX378181.1;ST2;ST;Homo sapiens;Tunisia
KX378180.1;ST2;ST;Homo sapiens;Tunisia
KX378179.1;ST3;ST;Homo sapiens;Tunisia
KX378178.1;ST1;ST;Homo sapiens;Tunisia
KX378177.1;ST1;ST;Homo sapiens;Tunisia
KX378176.1;ST2;ST;Homo sapiens;Tunisia
KX378175.1;ST3;ST;Homo sapiens;Tunisia
KU147403.1;ST3;ST;Homo sapiens;Mexico
KU147402.1;ST3;ST;Homo sapiens;Mexico
KU147401.1;ST3;ST;Homo sapiens;Mexico
KU147400.1;ST3;ST;Homo sapiens;Mexico
KU147399.1;ST3;ST;Homo sapiens;Mexico
KU147398.1;ST3;ST;Homo sapiens;Mexico
KU147397.1;ST3;ST;Homo sapiens;Mexico
KU147396.1;ST3;ST;Homo sapiens;Mexico
KU147395.1;ST3;ST;Homo sapiens;Mexico
KU147394.1;ST3;ST;Homo sapiens;Mexico
KU147393.1;ST3;ST;Homo sapiens;Mexico
KU147392.1;ST3;ST;Homo sapiens;Mexico
KU147391.1;ST3;ST;Homo sapiens;Mexico
KU147390.1;ST3;ST;Homo sapiens;Mexico
KU147389.1;ST3;ST;Homo sapiens;Mexico
KU147388.1;ST3;ST;Homo sapiens;Mexico
KU147387.1;ST3;ST;Homo sapiens;Mexico
KU147386.1;ST3;ST;Homo sapiens;Mexico
KU147385.1;ST3;ST;Homo sapiens;Mexico
KU147384.1;ST3;ST;Homo sapiens;Mexico
KU147383.1;ST3;ST;Homo sapiens;Mexico
KU147382.1;ST3;ST;Homo sapiens;Mexico
KU147381.1;ST3;ST;Homo sapiens;Mexico
KU147380.1;ST3;ST;Homo sapiens;Mexico
KU147379.1;ST3;ST;Homo sapiens;Mexico
KU147378.1;ST3;ST;Homo sapiens;Mexico
KU147377.1;ST3;ST;Homo sapiens;Mexico
KU147376.1;ST3;ST;Homo sapiens;Mexico
KU147375.1;ST3;ST;Homo sapiens;Mexico
KU147374.1;ST3;ST;Homo sapiens;Mexico
KU147373.1;ST3;ST;Homo sapiens;Mexico
KU147372.1;ST3;ST;Homo sapiens;Mexico
KU147371.1;ST3;ST;Homo sapiens;Mexico
KU147370.1;ST3;ST;Homo sapiens;Mexico
KU147369.1;ST3;ST;Homo sapiens;Mexico
KU147368.1;ST3;ST;Homo sapiens;Mexico
KU147367.1;ST3;ST;Homo sapiens;Mexico
KU147366.1;ST3;ST;Homo sapiens;Mexico
KU147365.1;ST3;ST;Homo sapiens;Mexico
KU147364.1;ST3;ST;Homo sapiens;Mexico
KU147363.1;ST3;ST;Homo sapiens;Mexico
KU147362.1;ST3;ST;Homo sapiens;Mexico
KU147361.1;ST2;ST;Homo sapiens;Mexico
KU147360.1;ST2;ST;Homo sapiens;Mexico
KU147359.1;ST2;ST;Homo sapiens;Mexico
KU147358.1;ST2;ST;Homo sapiens;Mexico
KU147357.1;ST2;ST;Homo sapiens;Mexico
KU147356.1;ST2;ST;Homo sapiens;Mexico
KU147355.1;ST2;ST;Homo sapiens;Mexico
KU147354.1;ST2;ST;Homo sapiens;Mexico
KU147353.1;ST1;ST;Homo sapiens;Mexico
KU147352.1;ST1;ST;Homo sapiens;Mexico
KU147351.1;ST1;ST;Homo sapiens;Mexico
KU147350.1;ST1;ST;Homo sapiens;Mexico
KU147349.1;ST1;ST;Homo sapiens;Mexico
KU147348.1;ST1;ST;Homo sapiens;Mexico
KU147347.1;ST1;ST;Homo sapiens;Mexico
KU147346.1;ST1;ST;Homo sapiens;Mexico
KU147345.1;ST1;ST;Homo sapiens;Mexico
