Accession;Organism;Classification;Host;Country
KT438702.1;ST7;ST;Homo sapiens;Japan
KT438701.1;ST7;ST;Homo sapiens;Japan
KT438700.1;ST3;ST;Homo sapiens;Japan
KT438699.1;ST1;ST;Homo sapiens;Japan
KT438698.1;ST7;ST;Homo sapiens;Japan
KT438697.1;ST6;ST;Homo sapiens;Japan
KT438696.1;ST3;ST;Homo sapiens;Japan
KT438695.1;ST3;ST;Homo sapiens;Japan
KT438694.1;ST2;ST;Homo sapiens;Japan
KT438693.1;ST6;ST;Homo sapiens;Japan
KT438692.1;ST6;ST;Homo sapiens;Japan
KT438691.1;ST3;ST;Homo sapiens;Japan
